"order","section10","mainMissionId","levelName","category","difficultyNameZh","experienceRole","roleInSection","finalStatus","finalLevelId","finalAssetPath","originalLevelId","originalAssetPath","replacementSourceKind","productionLane","productionChainLanguage","productionDifficultyBand","sourceCoverage","maxChoices","localPatchSolveRunMax","nearOuterPatchSolveRunMax","solveTraceQualityScore","solveTraceCollapseRiskScore","solveSameAxisRunMax","solveSameDirHeadRunMax","assemblyAction","assemblySourcePool","assemblySourceRoot","assemblyGateClass","assemblySelectionReason","assemblyCopyRequired","assemblyCandidateLevelId","assemblyCandidateAssetPath","assemblyCandidateStyle","assemblyCandidateChainLanguage","assemblyCandidateRole","assemblyManualReview","assemblyRemainingGap","assemblyGapReason","assemblyCandidateWidth","assemblyCandidateHeight","assemblyCandidateChains","assemblyCandidateAvgChoices","assemblyCandidateMaxChain","assemblyCandidateAvgChain","assemblyCandidateStraightness","assemblyCandidateProfile","templateTargetChains","templateTargetChainsMin","templateTargetChainsMax","templateTargetWidth","templateTargetHeight","actualChains","actualArrowTiles","actualMaxChain","actualAvgChain","effectiveChainLoad","sectionWaveRole","rhythmStageBand","rhythmPlacementReason","rhythmStyleGroup","rhythmChainDelta","rhythmEffectiveDelta","rhythmCandidateDifficultyScore"
"11","2","111","Main/Level_Main_11","normal","普通/恢复","Normal","NormalA_FlowOrNeutral","ReplacedRhythmV4","campaign500_normal_early_plus_v1_topup_fastlane1_12_nutation_flow_rail_v1_rect_s10_o092_v02_flowrail_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_12_nutation_flow_rail_v1_rect_s10_o092_v02_flowrail_rail_chain.asset","level3_thirty_03_level3_thirty_mini_maze_30","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L011_level3_thirty_03_level3_thirty_mini_maze_30.asset","normal","FlowCurve","rail_chain","NormalFlow","0.984","7","6","4","0.907","0.042","","","ActiveReplace","Campaign500_HardGateUntil0910","","RhythmV4Front300TraceKeep","rhythm_v4|target=31;stageTarget=31;effective=36.9;chains=34;role=Normal;style=flow;chain=rail_chain;cost=19.6","False","campaign500_normal_early_plus_v1_topup_fastlane1_12_nutation_flow_rail_v1_rect_s10_o092_v02_flowrail_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_12_nutation_flow_rail_v1_rect_s10_o092_v02_flowrail_rail_chain.asset","flow","rail_chain","NormalFlow","False","False","","18","24","34","","22","12.50","","92","31","28","34","12","18","34","425","22","12.50","36.92","Normal","S00_front20_soft","target=31;stageTarget=31;effective=36.9;chains=34;role=Normal;style=flow;chain=rail_chain;cost=19.6","flow","3.0","5.9","2.996"
"12","2","112","Main/Level_Main_12","normal","普通/恢复","Normal","","ReplacedRhythmV4","campaign500_normal_early_plus_v1_topup_fastlane1_45_nutation_flow_rail_v1_rect_s33_o322_v02_flowrail_patch_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_45_nutation_flow_rail_v1_rect_s33_o322_v02_flowrail_patch_chain.asset","nomask_style_expansion_23_center_cross_b","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L012_nomask_style_expansion_23_center_cross_b.asset","normal","FlowPatch","patch_chain","NormalFlow","0.991","9","3","3","0.932","0.028","","","ActiveReplace","Campaign500_HardGateUntil0910","","RhythmV4Front300TraceKeep","rhythm_v4|target=50;stageTarget=50;effective=49.8;chains=48;role=Normal;style=flow;chain=patch_chain;cost=26.0","False","campaign500_normal_early_plus_v1_topup_fastlane1_45_nutation_flow_rail_v1_rect_s33_o322_v02_flowrail_patch_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_45_nutation_flow_rail_v1_rect_s33_o322_v02_flowrail_patch_chain.asset","flow","patch_chain","NormalFlow","False","False","","20","27","48","","22","11.15","","322","50","46","54","17","24","48","535","22","11.15","49.78","Normal","S00_front20_soft","target=50;stageTarget=50;effective=49.8;chains=48;role=Normal;style=flow;chain=patch_chain;cost=26.0","flow","-2.0","-0.2","3.055"
"13","2","113","Main/Level_Main_13","shape","普通/恢复","Shape","","ShapeCandidatePlanned","campaign500_shape_psg_newbie4_04_L013_magicwand","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_04_L013_magicwand.asset","r2_outer_strong_005_r2_006_a401_earlyprop_04_earlypeel_v5_maskearlyprop_24x24-earlyprop04magicwand","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L013_r2_outer_strong_005_r2_006_a401_earlyprop_04_early.asset","shape_psg_inventory","","","","0.982","9","8","1","","","","","ActiveReplace","ShapeMaskInventory",".worktrees/mask-psg-production","FormalAccepted","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage.","True","campaign500_shape_psg_newbie4_04_L013_magicwand","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_04_L013_magicwand.asset","Sweep","","NewbieTraceKeeper","False","False","","44","44","60","4.45","","","","Sweep","37","34","40","24","24","60","503","17","8.38","","Shape","S00_front20_soft","unchanged_from_v3_or_non_normal","","","",""
"14","2","114","Main/Level_Main_14","normal","普通/恢复","Normal","","ReplacedRhythmV4","campaign500_normal_full_v1_s01_s13_101_nutation_mixed_neutral_v1_rect_s09_o086_v01_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_101_nutation_mixed_neutral_v1_rect_s09_o086_v01_neutralmixed_mixed_chain.asset","nomask_06_sweep","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L014_nomask_06_sweep.asset","normal","NeutralMixed","mixed_chain","NormalNeutral","0.98","8","5","4","0.83","0.241","","","ActiveReplace","Campaign500_HardGateUntil0910","","RhythmV4Front300TraceKeep","rhythm_v4|target=42;stageTarget=42;effective=56.3;chains=54;role=Normal;style=neutral;chain=mixed_chain;cost=58.2","False","campaign500_normal_full_v1_s01_s13_101_nutation_mixed_neutral_v1_rect_s09_o086_v01_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_101_nutation_mixed_neutral_v1_rect_s09_o086_v01_neutralmixed_mixed_chain.asset","neutral","mixed_chain","NormalNeutral","False","False","","20","27","54","","21","9.80","","86","42","39","45","15","21","54","529","21","9.80","56.33","Normal","S00_front20_soft","target=42;stageTarget=42;effective=56.3;chains=54;role=Normal;style=neutral;chain=mixed_chain;cost=58.2","neutral","12.0","14.3","3.458"
"15","2","115","Main/Level_Main_15","normal","普通/恢复","Normal","","ReplacedRhythmV4","campaign500_normal_full_v1_s01_s13_77_nutation_mixed_neutral_v1_rect_s07_o062_v01_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_77_nutation_mixed_neutral_v1_rect_s07_o062_v01_neutralmixed_mixed_chain.asset","direct_pure_topup_02_15_direct_refresh_topup_rect_dual_zone_g4_v05","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L015_direct_pure_topup_02_15_direct_refresh_topup_rect_.asset","normal","FlowCurve","curve_chain","NormalFlow","0.981","6","4","4","0.864","0.147","","","ActiveReplace","Campaign500_HardGateUntil0910","","RhythmV4Front300TraceKeep","rhythm_v4|target=53;stageTarget=53;effective=56.1;chains=55;role=Normal;style=flow;chain=curve_chain;cost=12.2","False","campaign500_normal_full_v1_s01_s13_77_nutation_mixed_neutral_v1_rect_s07_o062_v01_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_77_nutation_mixed_neutral_v1_rect_s07_o062_v01_neutralmixed_mixed_chain.asset","flow","curve_chain","NormalFlow","False","False","","20","27","55","","21","9.64","","31","53","49","57","14","26","55","530","21","9.64","56.12","Normal","S00_front20_soft","target=53;stageTarget=53;effective=56.1;chains=55;role=Normal;style=flow;chain=curve_chain;cost=12.2","flow","2.0","3.1","3.004"
"16","2","116","Main/Level_Main_16","normal","普通/恢复","Normal","Hard","ReplacedRhythmV4","campaign500_normal_full_v1_s01_s13_41_nutation_mixed_neutral_v1_rect_s04_o035_v01_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_41_nutation_mixed_neutral_v1_rect_s04_o035_v01_neutralmixed_mixed_chain.asset","direct_pure_topup_02_06_direct_refresh_topup_rect_core_burst_g3_v04","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L016_direct_pure_topup_02_06_direct_refresh_topup_rect_.asset","normal","NeutralMixed","mixed_chain","NormalNeutral","0.974","8","6","5","0.895","0.123","","","ActiveReplace","Campaign500_HardGateUntil0910","","RhythmV4Front300TraceKeep","rhythm_v4|target=54;stageTarget=54;effective=59.8;chains=56;role=Hard;style=neutral;chain=mixed_chain;cost=16.6","False","campaign500_normal_full_v1_s01_s13_41_nutation_mixed_neutral_v1_rect_s04_o035_v01_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_41_nutation_mixed_neutral_v1_rect_s04_o035_v01_neutralmixed_mixed_chain.asset","neutral","mixed_chain","NormalNeutral","False","False","","20","27","56","","21","9.39","","35","54","50","58","15","29","56","526","21","9.39","59.83","Hard","S00_front20_soft","target=54;stageTarget=54;effective=59.8;chains=56;role=Hard;style=neutral;chain=mixed_chain;cost=16.6","neutral","2.0","5.8","3.732"
"17","2","117","Main/Level_Main_17_hole","hole","普通/恢复","HoleRescue","","OriginalNonTarget","r1_ab_091_above300_level_571_final_holeblock_multiseed_final","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L017_r1_ab_091_above300_level_571_final_holeblock_multi.asset","r1_ab_091_above300_level_571_final_holeblock_multiseed_final","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L017_r1_ab_091_above300_level_571_final_holeblock_multi.asset","","","","","","","","","","","","","KeepCurrent","","main","","","False","","","","","","False","False","","","","","","","","","","37","34","40","18","20","","","","","","HoleRescue","S00_front20_soft","unchanged_from_v3_or_non_normal","","","",""
"18","2","118","Main/Level_Main_18","normal","普通/恢复","Normal","","ReplacedRhythmV4","c5nep_w2fr_03_nutation_flow_rail_v1_rect_s12_o115_v02_flowrail_patch_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w2fr/c5nep_w2fr_03_nutation_flow_rail_v1_rect_s12_o115_v02_flowrail_patch_chain.asset","nomask_style_10_zig_river","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L018_nomask_style_10_zig_river.asset","normal","FlowPatch","patch_chain","NormalFlow","0.991","9","6","6","0.908","0.057","","","ActiveReplace","Campaign500_HardGateUntil0910","","RhythmV4Front300TraceKeep","rhythm_v4|target=53;stageTarget=53;effective=52.5;chains=47;role=Normal;style=flow;chain=patch_chain;cost=26.5","False","c5nep_w2fr_03_nutation_flow_rail_v1_rect_s12_o115_v02_flowrail_patch_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w2fr/c5nep_w2fr_03_nutation_flow_rail_v1_rect_s12_o115_v02_flowrail_patch_chain.asset","flow","patch_chain","NormalFlow","False","False","","20","27","47","","22","11.38","","115","53","49","57","18","25","47","535","22","11.38","52.47","Normal","S00_front20_soft","target=53;stageTarget=53;effective=52.5;chains=47;role=Normal;style=flow;chain=patch_chain;cost=26.5","flow","-6.0","-0.5","3.672"
"19","2","119","Main/Level_Main_19","normal","特别困难","Normal","Peak","ReplacedRhythmV4Final","c5hole_lowchoice_v1_h03r_31_nutation_strict_mixed_peak_v1_rect_s14_o136_v00_strictmixedpeak_strict_peak_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h03r/c5hole_lowchoice_v1_h03r_31_nutation_strict_mixed_peak_v1_rect_s14_o136_v00_strictmixedpeak_strict_peak_chain_hf1.asset","direct_pure_topup_06_19_direct_normal_pure_rect_lock_buckle_g8_v09","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L019_direct_pure_topup_06_19_direct_normal_pure_rect_lo.asset","normal","Campaign500_HardGateUntil0910","strict_peak_chain","","","8","4","4","0.905","0.153","","","ActiveReplace","Campaign500_HardGateUntil0910","","RhythmV4FinalFront300TraceKeep","rhythm_v4_final|front20_peak_marker_upshift|swapped_from_order=128|target=94;stageTarget=64;effective=81.2;chains=79;style=hardgate;chain=strict_peak_chain","False","c5hole_lowchoice_v1_h03r_31_nutation_strict_mixed_peak_v1_rect_s14_o136_v00_strictmixedpeak_strict_peak_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h03r/c5hole_lowchoice_v1_h03r_31_nutation_strict_mixed_peak_v1_rect_s14_o136_v00_strictmixedpeak_strict_peak_chain_hf1.asset","hardgate","strict_peak_chain","","False","False","","","","79","","21","9.57","","","94","86","102","19","37","79","536","21","9.57","81.16","PeakExtreme","S00_front20_soft","rhythm_v4_final|front20_peak_marker_upshift|swapped_from_order=128|target=94;stageTarget=64;effective=81.2;chains=79;style=hardgate;chain=strict_peak_chain","hardgate","-15.0","17.2",""
"20","2","120","Main/Level_Main_20","normal","普通/恢复","Normal","NormalB_NeutralOrPeelLight","ReplacedRhythmV4","campaign500_normal_full_v1_s14_s26_38_nutation_flow_rail_v1_rect_s17_o161_v01_flowrail_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_38_nutation_flow_rail_v1_rect_s17_o161_v01_flowrail_rail_chain.asset","nomask_01_outer_shell","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L020_nomask_01_outer_shell.asset","normal","FlowRail","rail_chain","NormalFlow","0.991","9","2","2","0.908","0.089","","","ActiveReplace","Campaign500_HardGateUntil0910","","RhythmV4Front300TraceKeep","rhythm_v4|target=41;stageTarget=41;effective=40.6;chains=38;role=Normal;style=flow;chain=rail_chain;cost=23.0","False","campaign500_normal_full_v1_s14_s26_38_nutation_flow_rail_v1_rect_s17_o161_v01_flowrail_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_38_nutation_flow_rail_v1_rect_s17_o161_v01_flowrail_rail_chain.asset","flow","rail_chain","NormalFlow","False","False","","18","24","38","","22","11.26","","161","41","38","44","15","22","38","428","22","11.26","40.59","Normal","S00_front20_soft","target=41;stageTarget=41;effective=40.6;chains=38;role=Normal;style=flow;chain=rail_chain;cost=23.0","flow","-3.0","-0.4","2.632"
"21","3","121","Main/Level_Main_21","normal","普通/恢复","FixedFront40","NormalB_NeutralOrPeelLight","ReplacedRhythmV4","campaign500_normal_full_v1_s01_s13_78_nutation_mixed_neutral_v1_rect_s07_o062_v02_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_78_nutation_mixed_neutral_v1_rect_s07_o062_v02_neutralmixed_mixed_chain.asset","direct_diff120_04_direct_diff_refresh_dag_unlock_stair_ladder_g0_v01","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L021_direct_diff120_04_direct_diff_refresh_dag_unlock_s.asset","normal","FlowPatch","patch_chain","NormalFlow","0.994","8","4","4","0.828","0.16","","","ActiveReplace","Campaign500_HardGateUntil0910","","RhythmV4Front300TraceKeep","rhythm_v4|target=59;stageTarget=59;effective=61.5;chains=60;role=Normal;style=flow;chain=patch_chain;cost=26.4","False","campaign500_normal_full_v1_s01_s13_78_nutation_mixed_neutral_v1_rect_s07_o062_v02_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_78_nutation_mixed_neutral_v1_rect_s07_o062_v02_neutralmixed_mixed_chain.asset","flow","patch_chain","NormalFlow","False","False","","20","27","60","","21","8.95","","22","59","53","65","17","24","60","537","21","8.95","61.54","Normal","S01_light_ramp","target=59;stageTarget=59;effective=61.5;chains=60;role=Normal;style=flow;chain=patch_chain;cost=26.4","flow","1.0","2.5","3.413"
"22","3","122","Main/Level_Main_22","normal","普通/恢复","FixedFront40","NormalA_FlowOrNeutral","ReplacedRhythmV4","campaign500_normal_full_v1_s01_s13_28_nutation_mixed_neutral_v1_rect_s03_o021_v00_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_28_nutation_mixed_neutral_v1_rect_s03_o021_v00_neutralmixed_mixed_chain.asset","nomask_style_expansion_26_stair_ladder_a","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L022_nomask_style_expansion_26_stair_ladder_a.asset","normal","NeutralMixed","mixed_chain","NormalNeutral","0.993","8","6","3","0.857","0.209","","","ActiveReplace","Campaign500_HardGateUntil0910","","RhythmV4Front300TraceKeep","rhythm_v4|target=55;stageTarget=55;effective=63.0;chains=58;role=Normal;style=neutral;chain=mixed_chain;cost=43.5","False","campaign500_normal_full_v1_s01_s13_28_nutation_mixed_neutral_v1_rect_s03_o021_v00_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_28_nutation_mixed_neutral_v1_rect_s03_o021_v00_neutralmixed_mixed_chain.asset","neutral","mixed_chain","NormalNeutral","False","False","","20","27","58","","21","9.24","","21","55","49","61","16","24","58","536","21","9.24","62.99","Normal","S01_light_ramp","target=55;stageTarget=55;effective=63.0;chains=58;role=Normal;style=neutral;chain=mixed_chain;cost=43.5","neutral","3.0","8.0","3.815"
"23","3","123","Main/Level_Main_23","shape","普通/恢复","FixedFront40","","ShapeCandidatePlanned","campaign500_shape_psg_direction3_01_L023_train","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgDirection3/campaign500_shape_psg_direction3_01_L023_train.asset","r2_outer_strong_005_r2_006_a401_maskonlyb04_01_compact_train","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L023_r2_outer_strong_005_r2_006_a401_maskonlyb04_01_com.asset","shape_psg_inventory","","","","0.991","10","7","2","","","","","ActiveReplace","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage.","True","campaign500_shape_psg_direction3_01_L023_train","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgDirection3/campaign500_shape_psg_direction3_01_L023_train.asset","CoreBurst","","TraceKeeper","False","False","","","","87","5.43","","","","CoreBurst","69","62","76","37","29","87","735","17","8.45","","FixedFront40","S01_light_ramp","unchanged_from_v3_or_non_normal","","","",""
"24","3","124","Main/Level_Main_24","normal","普通/恢复","FixedFront40","","ReplacedRhythmV4","campaign500_normal_full_v1_s39_s50_tail_36_nutation_peel_rail_v1_rect_s44_o432_v02_peelmid_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50_tail/campaign500_normal_full_v1_s39_s50_tail_36_nutation_peel_rail_v1_rect_s44_o432_v02_peelmid_rail_chain.asset","direct_pure_topup_05_02_direct_normal_pure_rect_section_unlock_g9_v04","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L024_direct_pure_topup_05_02_direct_normal_pure_rect_se.asset","normal","PeelMid","rail_chain","Hard","0.99","9","5","5","0.811","0.201","","","ActiveReplace","Campaign500NormalFullV1UnusedStrict","","RhythmV4Front300TraceKeep","rhythm_v4|target=82;stageTarget=82;effective=83.4;chains=79;role=Normal;style=peel;chain=rail_chain;cost=37.0","False","campaign500_normal_full_v1_s39_s50_tail_36_nutation_peel_rail_v1_rect_s44_o432_v02_peelmid_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50_tail/campaign500_normal_full_v1_s39_s50_tail_36_nutation_peel_rail_v1_rect_s44_o432_v02_peelmid_rail_chain.asset","peel","rail_chain","Hard","False","False","","25","33","79","","20","10.34","","432","82","74","90","18","37","79","817","20","10.34","83.41","Normal","S01_light_ramp","target=82;stageTarget=82;effective=83.4;chains=79;role=Normal;style=peel;chain=rail_chain;cost=37.0","peel","-3.0","1.4","4.304"
"25","3","125","Main/Level_Main_25","normal","困难","FixedFront40","Hard","ReplacedRhythmV4","campaign500_normal_full_v1_s27_s38_142_nutation_pressure_peak_v1_rect_s38_o376_v00_pressurepeak_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_142_nutation_pressure_peak_v1_rect_s38_o376_v00_pressurepeak_mixed_chain.asset","direct_pure_normal_extra_01_10_direct_normal_pure_extra_rect_lock_buckle_g16_v02","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L025_direct_pure_normal_extra_01_10_direct_normal_pure_.asset","normal","PressurePeak","mixed_chain","Peak","0.985","9","4","4","0.884","0.169","","","ActiveReplace","Campaign500_HardGateUntil0910","","RhythmV4Front300TraceKeep","rhythm_v4|target=98;stageTarget=96;effective=96.0;chains=89;role=Hard;style=hardgate;chain=mixed_chain;cost=26.3","False","campaign500_normal_full_v1_s27_s38_142_nutation_pressure_peak_v1_rect_s38_o376_v00_pressurepeak_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_142_nutation_pressure_peak_v1_rect_s38_o376_v00_pressurepeak_mixed_chain.asset","hardgate","mixed_chain","Peak","False","False","","26","34","89","","20","9.79","","376","98","88","108","21","35","89","871","20","9.79","95.99","Hard","S01_light_ramp","target=98;stageTarget=96;effective=96.0;chains=89;role=Hard;style=hardgate;chain=mixed_chain;cost=26.3","hardgate","-9.0","-0.0","4.803"
"26","3","126","Main/Level_Main_26_hole","hole","普通/恢复","HoleRescue","","OriginalNonTarget","hole_candidate_058_tall_18x26_section","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L026_hole_candidate_058_tall_18x26_section.asset","hole_candidate_058_tall_18x26_section","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L026_hole_candidate_058_tall_18x26_section.asset","","","","","","","","","","","","","KeepCurrent","","main","","","False","","","","","","False","False","","","","","","","","","","42","37","47","18","26","","","","","","HoleRescue","S01_light_ramp","unchanged_from_v3_or_non_normal","","","",""
"27","3","127","Main/Level_Main_27","shape","普通/恢复","Shape","","ShapeCandidatePlanned","campaign500_shape_psg_direction3_02_L027_crownvarianta","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgDirection3/campaign500_shape_psg_direction3_02_L027_crownvarianta.asset","r2_outer_strong_005_r2_006_a401_maskonlyb09_09_compact_crownvarianta","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L027_r2_outer_strong_005_r2_006_a401_maskonlyb09_09_com.asset","shape_psg_inventory","","","","0.993","8","10","4","","","","","ActiveReplace","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage.","True","campaign500_shape_psg_direction3_02_L027_crownvarianta","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgDirection3/campaign500_shape_psg_direction3_02_L027_crownvarianta.asset","LockBuckle","","TraceKeeper","False","False","","","","72","4.32","","","","LockBuckle","68","61","75","36","29","72","588","17","8.17","","Shape","S01_light_ramp","unchanged_from_v3_or_non_normal","","","",""
"28","3","128","Main/Level_Main_28","normal","普通/恢复","FixedFront40","","ReplacedRhythmV4","campaign500_normal_full_v1_s27_s38_99_nutation_flow_rail_v1_rect_s35_o346_v02_flowrail_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_99_nutation_flow_rail_v1_rect_s35_o346_v02_flowrail_rail_chain.asset","direct_pure_topup_02_24_direct_refresh_topup_rect_maze_long_chain_g5_v06","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L028_direct_pure_topup_02_24_direct_refresh_topup_rect_.asset","normal","FlowPatch","rail_chain","NormalFlow","0.992","10","4","4","0.926","0.056","","","ActiveReplace","Campaign500_HardGateUntil0910","","RhythmV4Front300TraceKeep","rhythm_v4|target=63;stageTarget=63;effective=63.5;chains=59;role=Normal;style=flow;chain=rail_chain;cost=36.2","False","campaign500_normal_full_v1_s27_s38_99_nutation_flow_rail_v1_rect_s35_o346_v02_flowrail_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_99_nutation_flow_rail_v1_rect_s35_o346_v02_flowrail_rail_chain.asset","flow","rail_chain","NormalFlow","False","False","","22","29","59","","20","10.73","","266","63","57","69","17","29","59","633","20","10.73","63.51","Normal","S01_light_ramp","target=63;stageTarget=63;effective=63.5;chains=59;role=Normal;style=flow;chain=rail_chain;cost=36.2","flow","-4.0","0.5","3.732"
"29","3","129","Main/Level_Main_29","normal","极难","FixedFront40","Peak","ReplacedRhythmV4","campaign500_normal_full_v1_s27_s38_108_nutation_pressure_peak_v1_rect_s35_o347_v02_pressurepeak_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_108_nutation_pressure_peak_v1_rect_s35_o347_v02_pressurepeak_mixed_chain.asset","sgp_merged_final_outer_repair_quality_filtered26_harde_03_sgp_linework_maze_01_sgp_linework_maze_bluepri","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L029_sgp_merged_final_outer_repair_quality_filtered26_h.asset","normal","PressurePeak","mixed_chain","Peak","0.985","10","5","4","0.816","0.26","","","ActiveReplace","Campaign500NormalFullV1UnusedStrict","","RhythmV4Front300TraceKeep","rhythm_v4|target=98;stageTarget=96;effective=97.4;chains=90;role=PeakExtreme;style=peel;chain=mixed_chain;cost=15.5","False","campaign500_normal_full_v1_s27_s38_108_nutation_pressure_peak_v1_rect_s35_o347_v02_pressurepeak_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_108_nutation_pressure_peak_v1_rect_s35_o347_v02_pressurepeak_mixed_chain.asset","peel","mixed_chain","Peak","False","False","","26","34","90","","21","9.68","","347","98","88","108","22","35","90","871","21","9.68","97.40","PeakExtreme","S01_light_ramp","target=98;stageTarget=96;effective=97.4;chains=90;role=PeakExtreme;style=peel;chain=mixed_chain;cost=15.5","peel","-8.0","1.4","4.806"
