order,slotRole,relativeDifficulty,template,bucket,type,styleKey,chains,score,openers,avgChoices,dependencyBlocks,levelId,path,families,qualityFlags,portableQuality
383,Shape,Novelty,E_early_peak,normal,shape_ocean,Ocean,142,370,20,17.2,14,r2_outer_strong_005_r2_006_a401_procmask_57_onion_maskproceduralvertical_36x50-transitionsailboattall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_57_onion_maskproceduralvertical_36x50-transitionsailboattall_20260611_111154.asset,shape:Ocean:nautical:object:procmask_57_onion_maskproceduralvertical_36x50-transitionsailboattall_20260611_111154,rel:Normal:ShapeNormal:Shape:Ocean:nautical:object:transition,Normal
384,Normal,Normal,E_early_peak,normal,dense,dense_weave,112,167.8,13,6.69,645,direct_normal_54_direct_normal_rect_dense_weave_g5_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_54_direct_normal_rect_dense_weave_g5_v06.asset,direct_normal:dense_weave:g5,ok;rel:Normal:Normal,ok
385,Recovery,Recovery,E_early_peak,hard,sweep,sweep,157,151.2,25,10.42,852,direct_pure_topup_08_04_direct_polish_hard_pure_rect_sweep_g11_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice08/direct_pure_topup_08_04_direct_polish_hard_pure_rect_sweep_g11_v03.asset,direct_polish:sweep:g11,ok;rel:Normal:Normal,ok
386,Peak,RelativeExtreme,E_early_peak,very_hard,section,section_unlock,224,132.7,26,10.21,1585,direct_advanced_48_direct_advanced_veryhard_rect_section_unlock_g1_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_48_direct_advanced_veryhard_rect_section_unlock_g1_v06.asset,direct_advanced:section_unlock:g1,ok;rel:RelativeExtreme:Peak,ok
387,Normal,Normal,E_early_peak,normal,lock,core_burst,107,147.4,25,10.85,514,direct_normal_156_direct_normal_rect_core_burst_g3_v16,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_156_direct_normal_rect_core_burst_g3_v16.asset,direct_normal:core_burst:g3,ok;rel:Normal:Normal,ok
388,Shape,Novelty,E_early_peak,normal,shape_landmark,Landmark,144,370,20,17.2,14.3,r2_outer_strong_005_r2_006_a401_procmask_55_onion_maskproceduralvertical_36x50-transitionbridgetowertall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_55_onion_maskproceduralvertical_36x50-transitionbridgetowertall_20260611_111130.asset,shape:Landmark:architecture:landmark:procmask_55_onion_maskproceduralvertical_36x50-transitionbridgetowertall_20260611_111130,rel:Normal:ShapeNormal:Shape:Landmark:architecture:landmark:transition,Normal
389,Recovery,Recovery,E_early_peak,hard,maze,maze_long_chain,160,160.0,18,11.21,725,direct_polish_hard_18_direct_polish_hard_rect_maze_long_chain_g5_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PolishHardCandidates/direct_polish_hard_18_direct_polish_hard_rect_maze_long_chain_g5_v02.asset,direct_polish:maze_long_chain:g5,ok;rel:Normal:Normal,ok
390,Normal,Normal,E_early_peak,hard,section,dual_zone,141,159.8,19,8.01,647,direct_pure_topup_10_23_direct_polish_hard_pure_rect_dual_zone_g12_v10,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice10/direct_pure_topup_10_23_direct_polish_hard_pure_rect_dual_zone_g12_v10.asset,direct_polish:dual_zone:g12,ok,ok
391,Recovery,Recovery,A_peak9,hard,sweep,sweep,165,148.4,24,11.19,726,direct_pure_topup_07_08_direct_polish_hard_pure_rect_sweep_g9_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice07/direct_pure_topup_07_08_direct_polish_hard_pure_rect_sweep_g9_v01.asset,direct_polish:sweep:g9,ok;rel:Normal:Normal,ok
392,HoleRescue,Mechanic,A_peak9,normal,hole_rescue,standard_24x32_late,91,261,80,80,41.8,hole_proc_standard_24x32_late_922515_24x32_c91,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_24x32_late_922515_24x32_c91.asset,hole_procedural:standard_24x32_late,procedural_hole_standard,procedural_hole_standard
393,Shape,Novelty,A_peak9,normal,shape_vehicle,Vehicle,152,389,21,18.06,14.8,r2_outer_strong_005_r2_006_a401_procmask_136_onion_maskproceduralvertical_38x52-transitioncarrier02tall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_136_onion_maskproceduralvertical_38x52-transitioncarrier02tall_20260611_112008.asset,shape:Vehicle:transport:vehicle:procmask_136_onion_maskproceduralvertical_38x52-transitioncarrier02tall_20260611_112008,rel:Hard:ShapePressure:Shape:Vehicle:transport:vehicle:transition,Normal
394,Pressure,Hard,A_peak9,very_hard,section,quasi_symmetry,185,144.8,24,8.54,1276,direct_advanced_14_direct_advanced_veryhard_rect_quasi_symmetry_g1_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_14_direct_advanced_veryhard_rect_quasi_symmetry_g1_v02.asset,direct_advanced:quasi_symmetry:g1,ok;rel:RelativeExtreme:Peak,ok
395,Recovery,Recovery,A_peak9,normal,sweep,sweep,107,196.7,15,5.79,579,direct_normal_25_direct_normal_rect_sweep_g2_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_25_direct_normal_rect_sweep_g2_v03.asset,direct_normal:sweep:g2,ok;rel:Normal:Normal,ok
396,Normal,Normal,A_peak9,hard,dense,dense_weave,143,153.0,22,11.01,627,direct_pure_topup_10_01_direct_polish_hard_pure_rect_dense_weave_g10_v08,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice10/direct_pure_topup_10_01_direct_polish_hard_pure_rect_dense_weave_g10_v08.asset,direct_polish:dense_weave:g10,ok,ok
397,Shape,Novelty,A_peak9,normal,shape_magic,Magic,157,384,22,18.92,14.9,r2_outer_strong_005_r2_006_a401_procmask_51_long_maskproceduralvertical_36x50-transitioncastlegatetall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_51_long_maskproceduralvertical_36x50-transitioncastlegatetall_20260611_111115.asset,shape:Magic:fantasy-architecture:landmark:procmask_51_long_maskproceduralvertical_36x50-transitioncastlegatetall_20260611_111115,rel:Hard:ShapePressure:Shape:Magic:fantasy-architecture:landmark:transition,Normal
398,Pressure,Hard,A_peak9,hard,section,dual_zone,166,151.8,21,10.34,906,direct_pure_topup_07_05_direct_polish_hard_pure_rect_dual_zone_g9_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice07/direct_pure_topup_07_05_direct_polish_hard_pure_rect_dual_zone_g9_v01.asset,direct_polish:dual_zone:g9,ok;rel:Hard:Pressure,ok
399,Peak,VeryHard,A_peak9,normal,lock,lock_buckle,91,182.5,12,6.07,361,direct_pure_normal_extra_01_18_direct_normal_pure_extra_rect_lock_buckle_g17_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_18_direct_normal_pure_extra_rect_lock_buckle_g17_v03.asset,direct_normal:lock_buckle:g17,ok;rel:Recovery:Recovery,ok
400,Normal,Normal,A_peak9,hard,section,section_unlock,162,157.9,26,12.09,862,direct_pure_topup_07_11_direct_polish_hard_pure_rect_section_unlock_g10_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice07/direct_pure_topup_07_11_direct_polish_hard_pure_rect_section_unlock_g10_v02.asset,direct_polish:section_unlock:g10,ok;rel:Hard:Pressure,ok
401,Recovery,Recovery,F_chapter_breath,normal,sweep,sweep,105,179.3,14,6.44,474,direct_normal_topup_48_direct_normal_topup_rect_sweep_g11_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_48_direct_normal_topup_rect_sweep_g11_v06.asset,direct_normal:sweep:g11,ok;rel:Normal:Normal,ok
402,Normal,Normal,F_chapter_breath,hard,dense,dense_weave,149,147.1,22,10.86,778,direct_pure_topup_07_23_direct_polish_hard_pure_rect_dense_weave_g11_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice07/direct_pure_topup_07_23_direct_polish_hard_pure_rect_dense_weave_g11_v03.asset,direct_polish:dense_weave:g11,ok;rel:Normal:Normal,ok
403,Shape,Novelty,F_chapter_breath,normal,shape_landmark,Landmark,163,400,23,19.78,15.2,r2_outer_strong_005_r2_006_a401_procmask_53_long_maskproceduralvertical_36x50-transitiondomepalacetall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_53_long_maskproceduralvertical_36x50-transitiondomepalacetall_20260611_111123.asset,shape:Landmark:architecture:landmark:procmask_53_long_maskproceduralvertical_36x50-transitiondomepalacetall_20260611_111123,rel:Hard:ShapePressure:Shape:Landmark:architecture:landmark:transition,Normal
404,Pressure,Hard,F_chapter_breath,refresh,lock,direct_pure_topup_06_17_direct_n,87,138,18,9.17,358,direct_pure_topup_06_17_direct_normal_pure_rect_outer_shell_g8_v09,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_17_direct_normal_pure_rect_outer_shell_g8_v09.asset,asset:direct_pure_topup_06_17_direct_n,ok|yellow_replacement:StartFakeWide,long-straight-run
405,Normal,Normal,F_chapter_breath,hard,dense,dense_weave,135,163.5,16,7.65,755,direct_pure_topup_08_19_direct_polish_hard_pure_rect_dense_weave_g13_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice08/direct_pure_topup_08_19_direct_polish_hard_pure_rect_dense_weave_g13_v05.asset,direct_polish:dense_weave:g13,ok;rel:Normal:Normal,ok
406,Peak,RelativeExtreme,F_chapter_breath,very_hard,section,stair_push,231,128.8,27,9.88,1467,direct_advanced_13_direct_advanced_veryhard_rect_stair_push_g1_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_13_direct_advanced_veryhard_rect_stair_push_g1_v02.asset,direct_advanced:stair_push:g1,ok;rel:VeryHard:Peak,ok
407,Recovery,Recovery,F_chapter_breath,hard,maze,maze_long_chain,146,167.1,17,8.98,814,direct_pure_topup_08_05_direct_polish_hard_pure_rect_maze_long_chain_g11_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice08/direct_pure_topup_08_05_direct_polish_hard_pure_rect_maze_long_chain_g11_v03.asset,direct_polish:maze_long_chain:g11,ok;rel:Normal:Normal,ok
408,Shape,Novelty,F_chapter_breath,normal,shape_vehicle,Vehicle,170,419,24,20.64,15.6,r2_outer_strong_005_r2_006_a401_procmask_137_long_maskproceduralvertical_40x50-transitioncarrier03tall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_137_long_maskproceduralvertical_40x50-transitioncarrier03tall_20260611_112015.asset,shape:Vehicle:transport:vehicle:procmask_137_long_maskproceduralvertical_40x50-transitioncarrier03tall_20260611_112015,rel:Hard:ShapePressure:Shape:Vehicle:transport:vehicle:transition,Normal
409,Normal,Normal,F_chapter_breath,normal,lock,lock_buckle,103,167.8,20,6.57,467,direct_normal_topup_74_direct_normal_topup_rect_lock_buckle_g9_v10,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_74_direct_normal_topup_rect_lock_buckle_g9_v10.asset,direct_normal:lock_buckle:g9,ok;rel:Recovery:Recovery,ok
410,Normal,Normal,F_chapter_breath,hard,section,dual_zone,146,162.3,21,7.03,726,direct_pure_topup_10_03_direct_polish_hard_pure_rect_dual_zone_g10_v08,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice10/direct_pure_topup_10_03_direct_polish_hard_pure_rect_dual_zone_g10_v08.asset,direct_polish:dual_zone:g10,ok;rel:Normal:Normal,ok
411,Recovery,Recovery,B_peak7_end_calm,hard,sweep,direct_pure_topup_07_10_direct_p,166,155.7,24,8.12,820,direct_pure_topup_07_10_direct_polish_hard_pure_rect_outer_shell_g9_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice07/direct_pure_topup_07_10_direct_polish_hard_pure_rect_outer_shell_g9_v01.asset,asset:direct_pure_topup_07_10_direct_p,ok;rel:Hard:Pressure,ok
412,Normal,Normal,B_peak7_end_calm,hard,dense,dense_weave,152,148.2,23,9.38,717,direct_pure_topup_09_15_direct_polish_hard_pure_rect_dense_weave_g9_v07,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice09/direct_pure_topup_09_15_direct_polish_hard_pure_rect_dense_weave_g9_v07.asset,direct_polish:dense_weave:g9,ok;rel:VeryHard:Peak,ok
413,Shape,Novelty,B_peak7_end_calm,normal,shape_nature,Nature,167,428,23,19.78,15.7,r2_outer_strong_005_r2_006_a401_procmask_114_onion_maskproceduralvertical_36x44-transitiondistinctbutterflytall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_114_onion_maskproceduralvertical_36x44-transitiondistinctbutterflytall_20260611_111757.asset,shape:Nature:plants-creatures:creature:procmask_114_onion_maskproceduralvertical_36x44-transitiondistinctbutterflytall_20260611_111757,rel:VeryHard:ShapePeak:Shape:Nature:plants-creatures:creature:transition,Normal
414,Pressure,Hard,B_peak7_end_calm,hard,section,section_unlock,165,147.4,23,12.86,870,direct_pure_topup_10_19_direct_polish_hard_pure_rect_section_unlock_g12_v10,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice10/direct_pure_topup_10_19_direct_polish_hard_pure_rect_section_unlock_g12_v10.asset,direct_polish:section_unlock:g12,ok;rel:Hard:Pressure,ok
415,Recovery,Recovery,B_peak7_end_calm,hard,sweep,direct_pure_topup_09_12_direct_p,169,159.5,25,9.29,901,direct_pure_topup_09_12_direct_polish_hard_pure_rect_outer_shell_g14_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice09/direct_pure_topup_09_12_direct_polish_hard_pure_rect_outer_shell_g14_v06.asset,asset:direct_pure_topup_09_12_direct_p,ok;rel:VeryHard:Peak,ok
416,Normal,Normal,B_peak7_end_calm,hard,section,quasi_symmetry,164,149.9,23,13.57,806,direct_pure_topup_08_23_direct_polish_hard_pure_rect_quasi_symmetry_g13_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice08/direct_pure_topup_08_23_direct_polish_hard_pure_rect_quasi_symmetry_g13_v05.asset,direct_polish:quasi_symmetry:g13,ok;rel:Normal:Normal,ok
417,HoleRescue,Mechanic,B_peak7_end_calm,normal,hole_rescue,standard_20x24_small,68,257,64,64,38.9,hole_proc_standard_20x24_small_916239_20x24_c68,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_20x24_small_916239_20x24_c68.asset,hole_procedural:standard_20x24_small,procedural_hole_standard,procedural_hole_standard
418,Shape,Novelty,B_peak7_end_calm,normal,shape_landmark,Landmark,179,429,25,21.5,16.2,r2_outer_strong_005_r2_006_a401_procmask_140_long_maskproceduralvertical_42x58-bigmegamonument05tall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_140_long_maskproceduralvertical_42x58-bigmegamonument05tall_20260611_112516.asset,shape:Landmark:architecture:landmark:procmask_140_long_maskproceduralvertical_42x58-bigmegamonument05tall_20260611_112516,rel:VeryHard:ShapePeak:Shape:Landmark:architecture:landmark:big,Normal
419,Pressure,Hard,B_peak7_end_calm,refresh,lock,lock_buckle,100,148.2,17,8.24,381,direct_normal_topup_02_direct_normal_topup_rect_lock_buckle_g6_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_02_direct_normal_topup_rect_lock_buckle_g6_v01.asset,direct_normal:lock_buckle:g6,ok,ok
420,Recovery,Recovery,B_peak7_end_calm,hard,section,dual_zone,161,148.5,23,12.01,866,direct_pure_topup_08_21_direct_polish_hard_pure_rect_dual_zone_g13_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice08/direct_pure_topup_08_21_direct_polish_hard_pure_rect_dual_zone_g13_v05.asset,direct_polish:dual_zone:g13,ok;rel:Hard:Pressure,ok
421,Recovery,Recovery,C_double_wave,normal,sweep,sweep,117,160.8,10,8.48,589,direct_normal_topup_72_direct_normal_topup_rect_sweep_g8_v09,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_72_direct_normal_topup_rect_sweep_g8_v09.asset,direct_normal:sweep:g8,ok;rel:Normal:Normal,ok
422,Pressure,Hard,C_double_wave,very_hard,dense,dense_weave,205,136.8,18,10.39,1275,direct_advanced_10_direct_advanced_veryhard_rect_dense_weave_g1_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_10_direct_advanced_veryhard_rect_dense_weave_g1_v02.asset,direct_advanced:dense_weave:g1,ok;rel:VeryHard:Peak,ok
423,Shape,Novelty,C_double_wave,normal,shape_space,Space,186,455,26,22.36,16.6,r2_outer_strong_005_r2_006_a401_procmask_58_onion_maskproceduralvertical_40x56-biggiantrobottall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_58_onion_maskproceduralvertical_40x56-biggiantrobottall_20260611_111158.asset,shape:Space:sci-fi:character:procmask_58_onion_maskproceduralvertical_40x56-biggiantrobottall_20260611_111158,rel:VeryHard:ShapePeak:Shape:Space:sci-fi:character:big,Hard
424,Recovery,Recovery,C_double_wave,refresh,sweep,snake_spine,61,166.0,13,7.89,196,nomask_style_expansion_06_snake_spine_mid,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_06_snake_spine_mid.asset,motif:snake_spine,ok;rel:Recovery:Recovery,long-straight-run
425,Normal,Normal,C_double_wave,hard,dense,dense_weave,163,155.8,24,11.69,764,direct_pure_topup_08_09_direct_polish_hard_pure_rect_dense_weave_g12_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice08/direct_pure_topup_08_09_direct_polish_hard_pure_rect_dense_weave_g12_v04.asset,direct_polish:dense_weave:g12,ok;rel:Normal:Normal,ok
426,Pressure,Hard,C_double_wave,hard,maze,maze_long_chain,165,161.5,16,7.55,1188,direct_pure_topup_08_15_direct_polish_hard_pure_rect_maze_long_chain_g12_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice08/direct_pure_topup_08_15_direct_polish_hard_pure_rect_maze_long_chain_g12_v04.asset,direct_polish:maze_long_chain:g12,ok;rel:VeryHard:Peak,ok
427,Normal,Normal,C_double_wave,very_hard,section,quasi_symmetry,180,111,25,13.88,866,direct_pure_topup_07_17_direct_polish_hard_pure_rect_quasi_symmetry_g10_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice07/direct_pure_topup_07_17_direct_polish_hard_pure_rect_quasi_symmetry_g10_v02.asset,direct_polish:quasi_symmetry:g10,ok|yellow_replacement:StartFakeWide,ok
428,Shape,Novelty,C_double_wave,normal,shape_vehicle,Vehicle,186,458,26,22.36,16.6,r2_outer_strong_005_r2_006_a401_procmask_144_onion_maskproceduralvertical_42x60-bigcarrier04tall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_144_onion_maskproceduralvertical_42x60-bigcarrier04tall_20260611_112535.asset,shape:Vehicle:transport:vehicle:procmask_144_onion_maskproceduralvertical_42x60-bigcarrier04tall_20260611_112535,rel:VeryHard:ShapePeak:Shape:Vehicle:transport:vehicle:big,Hard
429,Peak,VeryHard,C_double_wave,normal,lock,lock_buckle,80,172.7,13,6.26,318,direct_pure_normal_extra_01_02_direct_normal_pure_extra_rect_lock_buckle_g15_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_02_direct_normal_pure_extra_rect_lock_buckle_g15_v01.asset,direct_normal:lock_buckle:g15,ok;rel:Recovery:Recovery,ok
430,Recovery,Recovery,C_double_wave,hard,section,section_unlock,166,156.4,25,9.98,915,direct_pure_topup_08_17_direct_polish_hard_pure_rect_section_unlock_g13_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice08/direct_pure_topup_08_17_direct_polish_hard_pure_rect_section_unlock_g13_v05.asset,direct_polish:section_unlock:g13,ok;rel:Hard:Pressure,ok
431,Recovery,Recovery,D_visual_middle,refresh,sweep,sweep,100,151,13,7.2,444,direct_normal_topup_64_direct_normal_topup_rect_sweep_g7_v08,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_64_direct_normal_topup_rect_sweep_g7_v08.asset,direct_normal:sweep:g7,ok|yellow_replacement:BottleneckHeavy|GrindyLowClear,ok
432,Normal,Normal,D_visual_middle,hard,dense,dense_weave,159,161.6,15,9.47,897,direct_pure_topup_09_05_direct_polish_hard_pure_rect_dense_weave_g14_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice09/direct_pure_topup_09_05_direct_polish_hard_pure_rect_dense_weave_g14_v06.asset,direct_polish:dense_weave:g14,ok,ok
433,Shape,Novelty,D_visual_middle,normal,shape_nature,Nature,191,467,27,23.22,16.8,r2_outer_strong_005_r2_006_a401_procmask_147_onion_maskproceduralvertical_42x60-biggrove02tall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_147_onion_maskproceduralvertical_42x60-biggrove02tall_20260611_112549.asset,shape:Nature:plants-creatures:natural:procmask_147_onion_maskproceduralvertical_42x60-biggrove02tall_20260611_112549,rel:VeryHard:ShapePeak:Shape:Nature:plants-creatures:natural:big,Hard
434,Normal,Normal,D_visual_middle,very_hard,section,quasi_symmetry,199,133.8,26,10.02,1321,direct_advanced_22_direct_advanced_veryhard_rect_quasi_symmetry_g2_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_22_direct_advanced_veryhard_rect_quasi_symmetry_g2_v03.asset,direct_advanced:quasi_symmetry:g2,ok;rel:Hard:Pressure,ok
435,Pressure,Hard,D_visual_middle,normal,lock,core_burst,81,174.6,16,6.68,308,direct_pure_normal_extra_02_12_direct_normal_pure_extra_rect_core_burst_g19_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice02/direct_pure_normal_extra_02_12_direct_normal_pure_extra_rect_core_burst_g19_v05.asset,direct_normal:core_burst:g19,ok;rel:Recovery:Recovery,ok
436,Recovery,Recovery,D_visual_middle,refresh,dense,direct_pure_topup_02_01_direct_r,63,180.6,17,6.27,136,direct_pure_topup_02_01_direct_refresh_topup_rect_outer_shell_g3_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice02/direct_pure_topup_02_01_direct_refresh_topup_rect_outer_shell_g3_v04.asset,asset:direct_pure_topup_02_01_direct_r,ok;rel:Recovery:Recovery,ok
437,Shape,Novelty,D_visual_middle,normal,shape_vehicle,Vehicle,195,464,27,23.22,17.2,r2_outer_strong_005_r2_006_a401_procmask_146_long_maskproceduralvertical_46x60-bigcarrier06tall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_146_long_maskproceduralvertical_46x60-bigcarrier06tall_20260611_112547.asset,shape:Vehicle:transport:vehicle:procmask_146_long_maskproceduralvertical_46x60-bigcarrier06tall_20260611_112547,rel:VeryHard:ShapePeak:Shape:Vehicle:transport:vehicle:big,Hard
438,Normal,Normal,D_visual_middle,normal,section,stair_push,101,168.6,12,8.70,430,direct_normal_topup_38_direct_normal_topup_rect_stair_push_g10_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_38_direct_normal_topup_rect_stair_push_g10_v05.asset,direct_normal:stair_push:g10,ok;rel:Normal:Normal,ok
439,Pressure,Hard,D_visual_middle,normal,lock,lock_buckle,95,163.6,20,7.05,374,direct_pure_normal_extra_02_18_direct_normal_pure_extra_rect_lock_buckle_g20_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice02/direct_pure_normal_extra_02_18_direct_normal_pure_extra_rect_lock_buckle_g20_v06.asset,direct_normal:lock_buckle:g20,ok;rel:Normal:Normal,ok
440,Normal,Normal,D_visual_middle,normal,section,quasi_symmetry,105,166.9,17,8.15,437,direct_normal_69_direct_normal_rect_quasi_symmetry_g0_v07,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_69_direct_normal_rect_quasi_symmetry_g0_v07.asset,direct_normal:quasi_symmetry:g0,ok;rel:Recovery:Recovery,ok
441,Normal,Normal,E_early_peak,hard,dense,dense_weave,151,172.4,12,7.48,862,direct_polish_hard_12_direct_polish_hard_rect_dense_weave_g5_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PolishHardCandidates/direct_polish_hard_12_direct_polish_hard_rect_dense_weave_g5_v02.asset,direct_polish:dense_weave:g5,ok;rel:VeryHard:Peak,ok
442,HoleRescue,Mechanic,E_early_peak,normal,hole_rescue,standard_18x22_small,65,248,60,60,37.7,hole_proc_standard_18x22_small_914147_18x22_c65,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_18x22_small_914147_18x22_c65.asset,hole_procedural:standard_18x22_small,procedural_hole_standard,procedural_hole_standard
443,Shape,Novelty,E_early_peak,normal,shape_nature,Nature,207,506,29,24.94,17.8,r2_outer_strong_005_r2_006_a401_procmask_149_onion_maskproceduralvertical_40x60-biggrove04tall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_149_onion_maskproceduralvertical_40x60-biggrove04tall_20260611_112600.asset,shape:Nature:plants-creatures:natural:procmask_149_onion_maskproceduralvertical_40x60-biggrove04tall_20260611_112600,rel:VeryHard:ShapePeak:Shape:Nature:plants-creatures:natural:big,Hard
444,Normal,Normal,E_early_peak,hard,maze,maze_long_chain,129,168.9,13,8.55,593,direct_polish_clean_18_direct_polish_normal_rect_maze_long_chain_g1_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PolishCleanCandidates/direct_polish_clean_18_direct_polish_normal_rect_maze_long_chain_g1_v02.asset,direct_polish:maze_long_chain:g1,ok;rel:Normal:Normal,ok
445,Recovery,Recovery,E_early_peak,hard,sweep,sweep,168,161.3,16,11.55,1019,direct_pure_topup_07_18_direct_polish_hard_pure_rect_sweep_g10_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice07/direct_pure_topup_07_18_direct_polish_hard_pure_rect_sweep_g10_v02.asset,direct_polish:sweep:g10,ok;rel:Normal:Normal,ok
446,Peak,VeryHard,E_early_peak,refresh,lock,core_burst,76,177.5,12,6.68,272,direct_pure_topup_04_14_direct_normal_pure_rect_core_burst_g7_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_14_direct_normal_pure_rect_core_burst_g7_v02.asset,direct_normal:core_burst:g7,ok;rel:Recovery:Recovery,long-straight-run
